Kolinda slobodno budi glupa imas pametan telefon..poziva mlade da ostanu u Hrvatskoj a sin i kcer joj u Briselu..,1
"Mole se vjernici da poslusaju ministra i u slucaju bolesti se jave u najblizu crkvu da ne rade guzvu nama nevjernicima po ambulantama, hitnim sluzbama i bolnicama. Hvala!",1
"Ne znam po čemu je nevjerojatna  Cila je plastična, udala se bice za kakvog tajkuna ,po cili dan nista ne radi nego se slikaje. Njezina jedna torba je je cijenom skuplja nego moj cili ormAr Prema tome nije ona nevjerojatna vec JA  HAHAHA ja koja imam troje djece, ja koja radim za 2 500 kn, ja koja nemam vremena za fitnes, ja koja idem u frizera jednom godisnje,ja koja sama sebi namazem nokte sa lakom od 19 kn iz dm-a,ja koja nemam b.sitericu, ja koja kupujem majice za 50kn i dalje da ne nabrajam...a opet smatram da bolje izgledam nego ona i PUNO JE NAS TAKVIH HAHAHAHA",2
"Vlada će im pomoći.... Slušaj Ti kraljice: prvo pomozi ovim jadnim Hrvatima koji su ti tu pod nosom, da ne ide ta silna mladost van. Ili možda to i je Tvoja politika i tebi slićnih da sirotinja ode a da se vrate iseljenici s kuferima love i njih polapate, uništite da bankrotiraju i onda i snjima van granice, a povućete ove koji sad mahom otišli trbuhom za kruhom. Dobar ovaj igrokaz, smješan, al i tužan...",1
"Ne ljutite se susjedi,ali jos koji biser od ove zene i imat cemo slicne vodje..presmijesne",1
"Sad sam i ja konačno shvatio Vakulu . Snijega će biti i nagli pad temperature , a možda i neće . Biće kišovito i vjetrovito , osim ako kiša ne bude padala i ne puše vjetar . Biće sunčano u cijeloj Hrvatskoj , osim ako se oblaci ne pojave i ne sakriju to isto sunce . U skladu s tim i ja dajem svoj mali doprinos za utakmicu Hrvatska - Ukrajina . Odgovorno tvrdim da ćemo pobijediti , osim ako nas Ukrajina ne iznenadi i pobijedi , odnosno ako nam ne uzme bod .   phu p. m.",1
"I šta će raditi...proklinjati dan kad su se vratili, aaaa debilana",3
Kao sto ce pomoci i onima koji su spakirali kufere i odlaze iz Lijepe nam nase? Ili onima koji su pod ovrhama zbog 200kn duga? Ili onima koji su izgubili jedini krov nad glavom zbog dugova od par stotina kuna? Ova vlada nece pomoci nikome kao sto nije niti jedna do sada. Dakle ostanite u Svedskoj!,1
"Gospodine, upravo ste imali moždani udar, ali ne brinite, 3 Oče naša i 5 Zdravo Marijo, i bit ćete zdravi, kao da se ništa nije dogodilo.""",3
"Jadni roditelji pruzis djetetu sve i ono ti se zahvali metkom.. Prvo krivim nas roditelje pa djecu, danas djeca imaju sve dok je nas roditelja budala. Ma netreba zaliti djecu samo treba goniti na rad rad i samo rad.",2
"nemam nista protiv toga da cura sebe voli al mislim da je jebeno iskompleksirana kad ovakve slike stavlja na net da bi drugima to dokazala/pokazala......ocito ima potrebu da joj drugi govore da je to super sto radi kako bi se utjesila da je u redu bit debeo. da, debeo. to je ta rijec, ne izbjegavajte je jer se doticni vrijedaju kad im netko to kaze. i ja sam debela al se trudim ne bit,covjece. ne stavljam polugole slike na net....",2
"Dajte,to nama u Bosni,jedini trenutak  kad idemo naprijed.",2
Za make-up joj definitivno treba građevinska dozvola!!,2
Vlasniku životinja od svega srca želim isto ono što te životinje proživljavaju sada.,2
Jason Statham je bas ruznjikav. Tak da ga sakrijes doma i ne pustas van :D,2
"Stvarno ste pretjerali sa tim komentarima, žene ne samo što je lijepa i intilegentna nego je i predsjednica drzave u kojoj živite. Sram vas bilo, ne mora biti vaš izbor ali suzdržite se od zlobe i bezobrazluka.",3
"Prekrasan mladić,fin kaže susjed. Jedan pogleg na profil jasan ti je intelektualni domet ubojice. Da ga nisu tako odgajali nebi im se ovo niti dogodilo. Profil mu je oda mržnji prkosu,revoltu i mercedez benzu sa 19 god. Promašen odgoj ako ne nešto puno mračnije,ali susjedi u ovoj zemlji su zakon.",3
"teški bullshit...  pa nisam ja ni krava  ni kokoš da se ravnam po sucnu. Pogledam na sat i tolko je sati...  sve ostalo su idiotarije. kakav bioritam, kakve budalaštine...  pa kad ločem cijelu noć i spavam par sati nema veze,  ali kad pomaknem sat za vuru to je teški problem...",2
"Definitivno da! Evo upravo razmisljam kako cu sutra na posao jer imam strasno obilne menstruacije. Moram ponijeti rezervne hlace i rublje. Onaj tko se nije nasao u takvoj situaciji, ne razumije. Sa bolovima se sada nosim odlicno, valjda sam se navikla, ali obilnost ne mogu izbjeci :(",2
komentar na mjestu... nek joj djeca malo okuse hrvatske stvarnosti pa nek onda pametuje po svijetu,1
"I ovo je izjava jednog ministra zdravstva!? Bože, budi precizan,",1
"Znaci ja cu tek sad biti u trendu.Do sad sam bila klosar.A sad ce svi oblaciti majice Gunsa,Nirvane,AC/DC a ne znaju ni jednu pjesmu tih bendova, vjerojatno ni koja je to vrsta glazbe.Na majici AC/DC a u ušima cajka..De fuck off.",2
"o čemu je riječ? Ako je mozak, to ni jedna nemaju. Po gafovima su ispred svih.",2
"Možda ću zvučati bezosjećajno, no ne znam kako bi itko od nas mogao žaliti za bilo kim iz te obitelji, koja je preteća trulog američkog kapitalizma!",1
"Kretena na svim stranama bivse Juge, nije ni cudno sto ne idemo naprijed vec samo nazadujemo",3
"Šveđani dragi moji Slušajte me sada svi Hrvatsku sad treba spasiti Vaše pare, nama prebaciti   Što ćete u toj zemlji hladnoj Tu je raj na zemlji bajnoj Kontejneri vas prazni čekaju I puste ulice dozivaju  Ovrhe i blokade nove Žrtve iz Švedske sada love Vracajte se , što čekate Pare ajmo sada dajte  Da nam Plenki i Hanži budu zdravi To je za dijasporu put pravi, Sve ce vam vaša balerina reći Kako što prije vlada da vas usreći  Spremamo vam porez novi Stanove i kuće ko orao lovi Što ce vama nekretnine silne Karton, ulica i kontejner vam ne gine",3
"Andja Mestrovic na koga ljubomoran? Na masonsku triateralku kriminalku izdajnicu koja prodaje ""domoljublje""naivcima kao vi skupa sa svojom kriminalnm organizacijom kradezeom..pitajte ju uz koju se pjesmu najbolje krade drzava i narod reci ce vam uz ""Boze cuvaj Hrvatsku"" ..",3
"Junckeru, a zašto na Balkanu? Šta vi ne bi malo ratovali u vašem dvorištu pizda vam materina masonska.",3
"Hrvatska bi trebala dobiti bar 300 000 novih radnih mjesta,,a ne borbene avione,,,",1
